Table 1a: Phase functions used for Titan aerosols above 80 km
Angle(deg)     355nm          430nm          490.9nm        599.9nm        713.1nm        822.4nm        934.8nm        1078nm         1288nm         1583nm         2000nm         2200nm         2800nm         3200nm         3463nm         3668nm         3948nm         5166nm         
160            0.2407         0.2083         0.2306         0.1902         0.2885         0.3119         0.3002         0.3012         0.3043         0.3112         0.1671         0.1735         0.1931         0.2064         0.2151         0.2151         0.2314         0.2726         
165            0.2420         0.2098         0.2379         0.1956         0.3116         0.3494         0.3382         0.3393         0.3425         0.3496         0.1696         0.1761         0.1960         0.2095         0.2183         0.2183         0.2346         0.2762         
170            0.2430         0.2109         0.2436         0.1998         0.3331         0.3864         0.3760         0.3775         0.3812         0.3888         0.1727         0.1792         0.1989         0.2122         0.2210         0.2210         0.2372         0.2789         
171            0.2432         0.2111         0.2445         0.2005         0.3371         0.3935         0.3833         0.3850         0.3888         0.3965         0.1735         0.1799         0.1994         0.2127         0.2214         0.2214         0.2376         0.2793         
172            0.2433         0.2112         0.2453         0.2012         0.3412         0.4005         0.3907         0.3926         0.3966         0.4042         0.1742         0.1806         0.1999         0.2131         0.2218         0.2218         0.2380         0.2797         
173            0.2434         0.2114         0.2460         0.2020         0.3453         0.4076         0.3982         0.4003         0.4043         0.4117         0.1750         0.1813         0.2003         0.2135         0.2222         0.2222         0.2384         0.2800         
174            0.2435         0.2115         0.2466         0.2029         0.3495         0.4149         0.4063         0.4084         0.4120         0.4189         0.1758         0.1819         0.2008         0.2139         0.2225         0.2225         0.2387         0.2803         
175            0.2437         0.2120         0.2472         0.2040         0.3541         0.4226         0.4149         0.4166         0.4197         0.4259         0.1766         0.1825         0.2011         0.2142         0.2228         0.2228         0.2389         0.2805         
176            0.2444         0.2145         0.2476         0.2053         0.3590         0.4307         0.4243         0.4250         0.4270         0.4324         0.1773         0.1831         0.2014         0.2145         0.2231         0.2231         0.2391         0.2807         
177            0.2512         0.2265         0.2480         0.2066         0.3641         0.4389         0.4339         0.4332         0.4339         0.4384         0.1778         0.1835         0.2017         0.2147         0.2232         0.2232         0.2393         0.2809         
178            0.2869         0.2616         0.2482         0.2079         0.3688         0.4466         0.4430         0.4406         0.4400         0.4437         0.1783         0.1838         0.2019         0.2148         0.2234         0.2234         0.2394         0.2810         
179            0.3714         0.3166         0.2484         0.2088         0.3728         0.4529         0.4504         0.4466         0.4451         0.4482         0.1785         0.1840         0.2020         0.2149         0.2235         0.2235         0.2395         0.2811         
180            0.4279         0.3464         0.2484         0.2092         0.3755         0.4571         0.4551         0.4508         0.4489         0.4518         0.1786         0.1841         0.2020         0.2149         0.2235         0.2235         0.2395         0.2811         




